,Anchor,Positive
0,17706,22327
1,17706,29104
2,17706,13361
3,17706,30786
4,17706,26296
5,17706,26957
6,17706,18927
7,17706,26031
8,17706,10524
9,17706,24334
0,26466,13361
1,26466,26296
2,26466,25380
3,26466,2801
4,26466,8949
5,26466,26957
6,26466,18927
7,26466,31633
8,26466,10524
9,26466,5027
0,13182,23367
1,13182,10134
2,13182,23510
3,13182,22327
4,13182,25221
5,13182,26681
6,13182,26031
7,13182,9210
8,13182,29783
9,13182,5337
0,5864,13361
1,5864,26296
2,5864,25380
3,5864,2801
4,5864,8949
5,5864,18927
6,5864,31633
7,5864,19419
8,5864,10524
9,5864,5027
0,12853,23367
1,12853,23510
2,12853,25221
3,12853,9733
4,12853,15951
5,12853,27979
6,12853,26681
7,12853,15966
8,12853,9210
9,12853,31361
0,24261,9733
1,24261,6930
2,24261,18720
3,24261,20920
4,24261,9492
5,24261,27979
6,24261,6669
7,24261,26681
8,24261,15966
9,24261,14057
0,25117,13361
1,25117,26296
2,25117,25380
3,25117,2801
4,25117,8949
5,25117,18927
6,25117,31633
7,25117,10524
8,25117,5027
9,25117,28680
0,3210,6930
1,3210,18720
2,3210,20920
3,3210,16853
4,3210,20316
5,3210,27979
6,3210,6669
7,3210,15966
8,3210,14057
9,3210,31361
0,22571,22327
1,22571,29104
2,22571,13361
3,22571,30786
4,22571,26296
5,22571,26957
6,22571,18927
7,22571,26031
8,22571,10524
9,22571,24334
0,21340,25221
1,21340,9733
2,21340,15951
3,21340,26609
4,21340,9492
5,21340,27979
6,21340,26681
7,21340,15966
8,21340,9210
9,21340,14057
0,26700,25221
1,26700,9733
2,26700,15951
3,26700,26609
4,26700,6930
5,26700,27979
6,26700,6669
7,26700,26681
8,26700,15966
9,26700,14057
0,4505,22327
1,4505,29104
2,4505,13361
3,4505,30786
4,4505,26296
5,4505,26957
6,4505,18927
7,4505,26031
8,4505,10524
9,4505,24334
0,16939,7598
1,16939,1628
2,16939,8949
3,16939,21465
4,16939,17044
5,16939,31633
6,16939,19419
7,16939,25857
8,16939,29006
9,16939,27772
0,25878,23367
1,25878,10134
2,25878,22327
3,25878,29104
4,25878,9910
5,25878,26957
6,25878,26031
7,25878,29783
8,25878,143
9,25878,24334
0,9359,23367
1,9359,23510
2,9359,25221
3,9359,29104
4,9359,15951
5,9359,26681
6,9359,26031
7,9359,9210
8,9359,29783
9,9359,5337
0,6038,25221
1,6038,9733
2,6038,15951
3,6038,26609
4,6038,9492
5,6038,27979
6,6038,26681
7,6038,15966
8,6038,9210
9,6038,31361
0,31557,23367
1,31557,10134
2,31557,23510
3,31557,22327
4,31557,25221
5,31557,26681
6,31557,26031
7,31557,9210
8,31557,29783
9,31557,5337
0,25487,23367
1,25487,23510
2,25487,25221
3,25487,9733
4,25487,15951
5,25487,27979
6,25487,26681
7,25487,9210
8,25487,31361
9,25487,29783
0,2214,23367
1,2214,23510
2,2214,25221
3,2214,29104
4,2214,15951
5,2214,26681
6,2214,26031
7,2214,9210
8,2214,29783
9,2214,5337
0,8817,25221
1,8817,9733
2,8817,15951
3,8817,26609
4,8817,9492
5,8817,27979
6,8817,26681
7,8817,15966
8,8817,9210
9,8817,31361
0,16412,23367
1,16412,23510
2,16412,25221
3,16412,29104
4,16412,15951
5,16412,27979
6,16412,26681
7,16412,26031
8,16412,9210
9,16412,31361
0,3446,23367
1,3446,10134
2,3446,22327
3,3446,29104
4,3446,9910
5,3446,26957
6,3446,26031
7,3446,9210
8,3446,29783
9,3446,143
0,13371,23367
1,13371,23510
2,13371,25221
3,13371,9733
4,13371,15951
5,13371,27979
6,13371,26681
7,13371,9210
8,13371,31361
9,13371,29783
0,13565,22327
1,13565,13361
2,13565,30786
3,13565,26296
4,13565,25380
5,13565,26957
6,13565,18927
7,13565,31633
8,13565,10524
9,13565,12162
0,27360,23367
1,27360,23510
2,27360,25221
3,27360,29104
4,27360,15951
5,27360,26681
6,27360,26031
7,27360,9210
8,27360,29783
9,27360,5337
0,20481,23367
1,20481,10134
2,20481,22327
3,20481,25221
4,20481,29104
5,20481,26957
6,20481,26031
7,20481,9210
8,20481,29783
9,20481,5337
0,3790,23367
1,3790,23510
2,3790,25221
3,3790,9733
4,3790,15951
5,3790,27979
6,3790,26681
7,3790,15966
8,3790,9210
9,3790,31361
0,27554,18720
1,27554,20920
2,27554,16853
3,27554,5052
4,27554,19704
5,27554,6669
6,27554,15966
7,27554,14057
8,27554,10582
9,27554,29829
0,5141,23367
1,5141,10134
2,5141,22327
3,5141,25221
4,5141,29104
5,5141,26957
6,5141,26681
7,5141,26031
8,5141,9210
9,5141,29783
0,28492,6930
1,28492,18720
2,28492,20920
3,28492,16853
4,28492,5052
5,28492,6669
6,28492,15966
7,28492,14057
8,28492,10582
9,28492,29829
0,29054,9733
1,29054,6930
2,29054,18720
3,29054,20920
4,29054,9492
5,29054,27979
6,29054,6669
7,29054,26681
8,29054,15966
9,29054,14057
0,29466,6930
1,29466,18720
2,29466,20920
3,29466,9492
4,29466,10032
5,29466,27979
6,29466,6669
7,29466,15966
8,29466,14057
9,29466,31361
0,30292,23367
1,30292,23510
2,30292,25221
3,30292,9733
4,30292,15951
5,30292,27979
6,30292,26681
7,30292,9210
8,30292,31361
9,30292,29783
0,10907,9733
1,10907,26609
2,10907,6930
3,10907,18720
4,10907,20920
5,10907,27979
6,10907,6669
7,10907,26681
8,10907,15966
9,10907,14057
0,31119,22327
1,31119,29104
2,31119,13361
3,31119,30786
4,31119,26296
5,31119,26957
6,31119,18927
7,31119,26031
8,31119,29783
9,31119,10524
0,29089,23367
1,29089,10134
2,29089,22327
3,29089,29104
4,29089,9910
5,29089,26957
6,29089,26031
7,29089,29783
8,29089,143
9,29089,24334
0,19514,22327
1,19514,13361
2,19514,26296
3,19514,25380
4,19514,2801
5,19514,26957
6,19514,18927
7,19514,31633
8,19514,10524
9,19514,12162
0,23383,9733
1,23383,15951
2,23383,26609
3,23383,6930
4,23383,18720
5,23383,27979
6,23383,6669
7,23383,26681
8,23383,15966
9,23383,14057
0,19953,23367
1,19953,23510
2,19953,25221
3,19953,9733
4,19953,29104
5,19953,27979
6,19953,26681
7,19953,9210
8,19953,31361
9,19953,29783
0,16676,7598
1,16676,1628
2,16676,25380
3,16676,8949
4,16676,24021
5,16676,31633
6,16676,19419
7,16676,10524
8,16676,5027
9,16676,25857
0,31975,9733
1,31975,15951
2,31975,26609
3,31975,6930
4,31975,18720
5,31975,27979
6,31975,6669
7,31975,26681
8,31975,15966
9,31975,14057
0,24657,22327
1,24657,29104
2,24657,13361
3,24657,30786
4,24657,26296
5,24657,26957
6,24657,18927
7,24657,26031
8,24657,10524
9,24657,24334
0,1485,23367
1,1485,10134
2,1485,22327
3,1485,25221
4,1485,29104
5,1485,26957
6,1485,26031
7,1485,9210
8,1485,29783
9,1485,5337
0,8863,23367
1,8863,10134
2,8863,22327
3,8863,29104
4,8863,9910
5,8863,26957
6,8863,26031
7,8863,29783
8,8863,143
9,8863,24334
0,24976,23367
1,24976,23510
2,24976,25221
3,24976,29104
4,24976,15951
5,24976,26681
6,24976,26031
7,24976,9210
8,24976,29783
9,24976,5337
0,2836,13361
1,2836,7598
2,2836,1628
3,2836,25380
4,2836,8949
5,2836,18927
6,2836,31633
7,2836,19419
8,2836,10524
9,2836,5027
0,28282,18720
1,28282,20920
2,28282,16853
3,28282,5052
4,28282,19704
5,28282,6669
6,28282,15966
7,28282,14057
8,28282,10582
9,28282,29829
0,25246,18720
1,25246,20920
2,25246,16853
3,25246,5052
4,25246,19704
5,25246,6669
6,25246,15966
7,25246,14057
8,25246,10582
9,25246,29829
0,4969,18720
1,4969,20920
2,4969,16853
3,4969,5052
4,4969,19704
5,4969,6669
6,4969,15966
7,4969,14057
8,4969,10582
9,4969,29829
0,10974,7598
1,10974,1628
2,10974,25380
3,10974,8949
4,10974,24021
5,10974,31633
6,10974,19419
7,10974,5027
8,10974,25857
9,10974,29006
0,21781,23510
1,21781,25221
2,21781,9733
3,21781,15951
4,21781,9910
5,21781,27979
6,21781,26681
7,21781,15966
8,21781,9210
9,21781,31361
0,6417,9733
1,6417,26609
2,6417,6930
3,6417,18720
4,6417,20920
5,6417,27979
6,6417,6669
7,6417,26681
8,6417,15966
9,6417,14057
0,7493,22327
1,7493,29104
2,7493,13361
3,7493,30786
4,7493,26296
5,7493,26957
6,7493,18927
7,7493,26031
8,7493,10524
9,7493,17426
0,25797,22327
1,25797,29104
2,25797,13361
3,25797,30786
4,25797,26296
5,25797,26957
6,25797,18927
7,25797,26031
8,25797,29783
9,25797,10524
0,15974,23367
1,15974,10134
2,15974,23510
3,15974,22327
4,15974,25221
5,15974,26681
6,15974,26031
7,15974,9210
8,15974,29783
9,15974,5337
0,13266,13361
1,13266,7598
2,13266,1628
3,13266,25380
4,13266,8949
5,13266,18927
6,13266,31633
7,13266,19419
8,13266,10524
9,13266,5027
0,27531,1628
1,27531,963
2,27531,10683
3,27531,567
4,27531,28167
5,27531,29006
6,27531,27772
7,27531,10121
8,27531,19254
9,27531,12831
0,862,22327
1,862,29104
2,862,13361
3,862,30786
4,862,26296
5,862,26957
6,862,18927
7,862,26031
8,862,10524
9,862,24334
0,30211,23367
1,30211,23510
2,30211,25221
3,30211,9733
4,30211,15951
5,30211,27979
6,30211,26681
7,30211,15966
8,30211,9210
9,30211,31361
0,15548,23367
1,15548,10134
2,15548,22327
3,15548,25221
4,15548,29104
5,15548,26957
6,15548,26031
7,15548,9210
8,15548,29783
9,15548,5337
0,12616,23367
1,12616,10134
2,12616,22327
3,12616,29104
4,12616,9910
5,12616,26957
6,12616,26031
7,12616,9210
8,12616,29783
9,12616,5337
0,27457,23367
1,27457,23510
2,27457,25221
3,27457,9733
4,27457,15951
5,27457,27979
6,27457,26681
7,27457,9210
8,27457,31361
9,27457,29783
0,22860,24531
1,22860,37
2,22860,28574
3,22860,6144
4,22860,15154
5,22860,12831
6,22860,23600
7,22860,31250
8,22860,9715
9,22860,15204
0,5352,25221
1,5352,9733
2,5352,15951
3,5352,26609
4,5352,6930
5,5352,27979
6,5352,26681
7,5352,15966
8,5352,14057
9,5352,31361
0,16142,23367
1,16142,10134
2,16142,22327
3,16142,29104
4,16142,9910
5,16142,26957
6,16142,26031
7,16142,29783
8,16142,143
9,16142,24334
0,23030,23367
1,23030,23510
2,23030,25221
3,23030,9733
4,23030,15951
5,23030,27979
6,23030,26681
7,23030,15966
8,23030,9210
9,23030,31361
0,30386,25221
1,30386,9733
2,30386,15951
3,30386,26609
