,Anchor,Positive
0,3080,36651
1,3080,6850
2,3080,7123
3,3080,7104
4,3080,4109
5,3080,31182
6,3080,34284
0,20276,8179
1,20276,19802
2,20276,11763
3,20276,8726
4,20276,13275
5,20276,3677
6,20276,27465
7,20276,2316
8,20276,4034
9,20276,27054
0,2895,36651
1,2895,6850
2,2895,7123
3,2895,7104
4,2895,4109
5,2895,31182
6,2895,34284
0,11864,8179
1,11864,19802
2,11864,11763
3,11864,13275
4,11864,15567
5,11864,3677
6,11864,27465
7,11864,25686
8,11864,2316
9,11864,4034
0,23350,8179
1,23350,19802
2,23350,11763
3,23350,13275
4,23350,15567
5,23350,3677
6,23350,27465
7,23350,2316
8,23350,4034
9,23350,27054
0,27392,25084
1,27392,7171
2,27392,24183
3,27392,797
4,27392,27568
5,27392,24059
6,27392,24094
7,27392,24121
8,27392,24016
9,27392,35214
0,37210,37774
1,37210,37342
2,37210,37714
3,37210,36863
4,37210,36745
5,37210,36978
6,37210,37543
7,37210,37277
8,37210,37783
9,37210,36560
0,9799,8179
1,9799,19802
2,9799,11763
3,9799,13275
4,9799,15567
5,9799,3677
6,9799,27465
7,9799,25686
8,9799,2316
9,9799,4034
0,8154,19802
1,8154,8404
2,8154,8726
3,8154,17678
4,8154,15567
5,8154,7952
6,8154,3219
7,8154,28726
8,8154,1819
9,8154,27054
0,9510,8404
1,9510,8726
2,9510,17678
3,9510,10798
4,9510,16740
5,9510,7952
6,9510,3219
7,9510,28726
8,9510,13542
9,9510,1819
0,37301,37779
1,37301,37420
2,37301,36914
3,37301,40818
4,37301,37323
5,37301,36391
6,37301,37710
7,37301,36672
8,37301,37758
9,37301,37566
0,17047,8726
1,17047,17678
2,17047,10798
3,17047,16740
4,17047,11216
5,17047,7952
6,17047,3219
7,17047,28726
8,17047,13542
9,17047,1819
0,15260,19802
1,15260,8404
2,15260,8726
3,15260,17678
4,15260,15567
5,15260,7952
6,15260,3219
7,15260,28726
8,15260,27054
9,15260,27987
0,20546,8179
1,20546,19802
2,20546,11763
3,20546,8726
4,20546,17678
5,20546,3219
6,20546,27465
7,20546,27054
8,20546,24984
9,20546,2779
0,36836,37774
1,36836,37714
2,36836,36863
3,36836,38157
4,36836,36745
5,36836,36978
6,36836,37543
7,36836,37783
8,36836,36560
9,36836,37801
0,10739,8404
1,10739,8726
2,10739,17678
3,10739,10798
4,10739,16740
5,10739,7952
6,10739,3219
7,10739,28726
8,10739,13542
9,10739,1819
0,2552,7376
1,2552,36651
2,2552,797
3,2552,6850
4,2552,4797
5,2552,24016
6,2552,31182
0,30860,30856
1,30860,30618
2,30860,30352
3,30860,26243
4,30860,35169
5,30860,36160
6,30860,30203
7,30860,30769
8,30860,30202
9,30860,30233
0,41094,40911
1,41094,40971
2,41094,40622
3,41094,40646
4,41094,40614
5,41094,40235
6,41094,40781
7,41094,38698
8,41094,40756
9,41094,40775
0,23598,8179
1,23598,19802
2,23598,11763
3,23598,8726
4,23598,17678
5,23598,3677
6,23598,27465
7,23598,2316
8,23598,27054
9,23598,2779
0,22876,8404
1,22876,8726
2,22876,17678
3,22876,10798
4,22876,16740
5,22876,7952
6,22876,3219
7,22876,28726
8,22876,13542
9,22876,1819
0,26228,7376
1,26228,25084
2,26228,7171
3,26228,797
4,26228,25244
5,26228,24059
6,26228,24094
7,26228,24016
8,26228,35643
9,26228,29087
0,14759,8179
1,14759,19802
2,14759,11763
3,14759,8726
4,14759,17678
5,14759,3677
6,14759,27465
7,14759,2316
8,14759,27054
9,14759,2779
0,22796,19802
1,22796,8404
2,22796,8726
3,22796,17678
4,22796,15567
5,22796,3219
6,22796,28726
7,22796,27054
8,22796,27987
9,22796,24984
0,24582,25084
1,24582,7171
2,24582,24183
3,24582,797
4,24582,27568
5,24582,24059
6,24582,24094
7,24582,24121
8,24582,24016
9,24582,35214
0,17201,34218
1,17201,14696
2,17201,21529
3,17201,16125
4,17201,21568
5,17201,15744
6,17201,18570
7,17201,17460
8,17201,35408
9,17201,6695
0,5659,36651
1,5659,6850
2,5659,4797
3,5659,7123
4,5659,7104
5,5659,31182
6,5659,34284
0,7695,36651
1,7695,6850
2,7695,7123
3,7695,7104
4,7695,4109
5,7695,31182
6,7695,34284
0,16677,13540
1,16677,15840
2,16677,5525
3,16677,17558
4,16677,23719
5,16677,28321
6,16677,13542
7,16677,11752
8,16677,20783
9,16677,27522
0,12610,10502
1,12610,18365
2,12610,15163
3,12610,14333
4,12610,8421
5,12610,19529
6,12610,6959
7,12610,25654
8,12610,28572
9,12610,23032
0,29895,35280
1,29895,35120
2,29895,30693
3,29895,32554
4,29895,34452
5,29895,29972
6,29895,28511
7,29895,27810
8,29895,27769
9,29895,29741
0,38308,39766
1,38308,39836
2,38308,39102
3,38308,39010
4,38308,39485
5,38308,32317
6,38308,39419
7,38308,29510
0,20354,15840
1,20354,5525
2,20354,22914
3,20354,18365
4,20354,14333
5,20354,33174
6,20354,11752
7,20354,18280
8,20354,25673
9,20354,20783
0,38134,38045
1,38134,38523
2,38134,38064
3,38134,38733
4,38134,38097
5,38134,39753
6,38134,38564
7,38134,39304
8,38134,38603
9,38134,38494
0,32887,31183
1,32887,34181
2,32887,29920
3,32887,34235
4,32887,32628
5,32887,35068
6,32887,36790
7,32887,29682
8,32887,27870
9,32887,28624
0,41056,40911
1,41056,40971
2,41056,40622
3,41056,40646
4,41056,40614
5,41056,40235
6,41056,40781
7,41056,38698
8,41056,40756
9,41056,40775
0,27627,7376
1,27627,25084
2,27627,7171
3,27627,797
4,27627,25244
5,27627,24094
6,27627,24016
7,27627,35643
8,27627,29087
9,27627,23998
0,36918,36996
1,36918,37173
2,36918,37557
3,36918,37239
4,36918,37486
5,36918,37416
6,36918,37038
7,36918,37225
8,36918,36945
9,36918,36769
0,1673,6850
1,1673,7123
2,1673,7104
3,1673,4109
4,1673,5856
5,1673,31182
6,1673,34284
0,23086,10502
1,23086,5525
2,23086,22914
3,23086,18365
4,23086,14333
5,23086,33174
6,23086,28572
7,23086,7620
8,23086,18280
9,23086,25673
0,1005,13540
1,1005,15840
2,1005,5525
3,1005,17558
4,1005,23719
5,1005,28321
6,1005,13542
7,1005,11752
8,1005,20783
9,1005,27522
0,8032,8179
1,8032,19802
2,8032,11763
3,8032,13275
4,8032,15567
5,8032,3677
6,8032,27465
7,8032,25686
8,8032,2316
9,8032,4034
0,1726,25045
1,1726,7376
2,1726,7171
3,1726,36651
4,1726,797
5,1726,24016
6,1726,31182
7,1726,24015
8,1726,24115
0,1116,6850
1,1116,7123
2,1116,7104
3,1116,4109
4,1116,2419
5,1116,31182
6,1116,34284
0,15906,21616
1,15906,16180
2,15906,8163
3,15906,14883
4,15906,14609
5,15906,15787
6,15906,15194
7,15906,15345
8,15906,21853
9,15906,15891
0,3607,36651
1,3607,6850
2,3607,7123
3,3607,7104
4,3607,4109
5,3607,31182
6,3607,34284
0,950,36651
1,950,6850
2,950,7123
3,950,7104
4,950,4109
5,950,31182
6,950,34284
0,22016,19802
1,22016,8404
2,22016,8726
3,22016,17678
4,22016,15567
5,22016,7952
6,22016,3219
7,22016,28726
8,22016,27054
9,22016,27987
0,3635,36651
1,3635,6850
2,3635,7123
3,3635,7104
4,3635,4109
5,3635,31182
6,3635,34284
0,21967,13776
1,21967,15163
2,21967,7190
3,21967,27567
4,21967,19515
5,21967,19529
6,21967,6959
7,21967,6164
8,21967,32988
9,21967,14815
0,26145,27568
1,26145,25244
2,26145,26357
3,26145,26893
4,26145,26253
5,26145,24059
6,26145,24057
7,26145,24094
8,26145,24121
9,26145,35214
0,21453,8179
1,21453,19802
2,21453,11763
3,21453,8726
4,21453,17678
5,21453,3677
6,21453,27465
7,21453,2316
8,21453,27054
9,21453,2779
0,16454,18156
1,16454,11145
2,16454,11790
3,16454,3436
4,16454,12876
5,16454,15791
6,16454,18394
0,23844,8404
1,23844,10798
2,23844,16740
3,23844,11216
4,23844,13540
5,23844,7952
6,23844,28726
7,23844,28321
8,23844,13542
9,23844,1819
0,11871,8179
1,11871,19802
2,11871,11763
3,11871,13275
4,11871,15567
5,11871,3677
6,11871,27465
7,11871,25686
8,11871,2316
9,11871,4034
0,21461,8179
1,21461,19802
2,21461,11763
3,21461,8726
4,21461,17678
5,21461,3219
6,21461,28726
7,21461,27465
8,21461,27054
9,21461,24984
0,28300,35280
1,28300,35120
2,28300,30693
3,28300,32554
4,28300,34452
5,28300,29972
6,28300,28511
7,28300,27810
8,28300,27769
9,28300,34601
0,31394,34181
1,31394,34235
2,31394,32628
3,31394,29443
4,31394,31901
5,31394,35068
6,31394,28624
7,31394,27729
8,31394,36636
9,31394,37206
0,5083,3645
1,5083,1818
2,5083,3731
3,5083,26299
4,5083,29203
5,5083,24057
6,5083,28434
7,5083,26246
8,5083,36305
9,5083,24009
