,Anchor,Positive
0,474,790
1,474,429
2,474,504
3,474,831
4,474,611
5,474,797
6,474,437
7,474,259
8,474,350
9,474,708
0,649,640
1,649,885
2,649,610
3,649,515
4,649,723
5,649,837
6,649,147
7,649,732
0,900,724
1,900,607
2,900,263
3,900,733
4,900,455
5,900,396
6,900,896
0,470,500
1,470,707
2,470,521
3,470,909
4,470,64
5,470,462
6,470,369
7,470,539
0,199,317
1,199,658
0,106,292
0,919,603
1,919,189
2,919,612
0,127,640
1,127,610
2,127,515
3,127,837
4,127,147
5,127,732
6,127,976
0,37,172
1,37,252
2,37,898
3,37,66
4,37,372
5,37,96
6,37,336
0,555,647
1,555,504
2,555,831
3,555,611
4,555,922
5,555,389
6,555,448
7,555,797
8,555,437
9,555,582
0,302,647
1,302,611
2,302,922
3,302,747
4,302,308
5,302,389
6,302,448
7,302,797
8,302,437
9,302,582
0,265,640
1,265,240
2,265,885
3,265,601
4,265,610
5,265,723
6,265,856
7,265,147
8,265,732
9,265,697
0,257,172
1,257,252
2,257,251
3,257,898
4,257,66
5,257,385
6,257,372
0,35,306
1,35,141
2,35,296
0,566,647
1,566,922
2,566,747
3,566,634
4,566,15
5,566,389
6,566,448
7,566,797
8,566,437
9,566,582
0,978,733
1,978,396
2,978,896
3,978,746
4,978,691
0,789,80
1,789,73
0,405,761
1,405,172
2,405,252
3,405,842
4,405,410
5,405,372
6,405,96
7,405,577
8,405,336
0,213,727
1,213,602
2,213,124
3,213,331
4,213,614
5,213,410
6,213,954
7,213,801
8,213,139
9,213,96
0,814,779
1,814,211
2,814,258
0,228,647
1,228,922
2,228,634
3,228,389
4,228,680
5,228,448
6,228,582
7,228,702
0,315,593
1,315,607
2,315,974
3,315,468
4,315,263
5,315,418
6,315,455
0,545,647
1,545,504
2,545,831
3,545,611
4,545,922
5,545,389
6,545,448
7,545,797
8,545,437
9,545,582
0,505,414
1,505,647
2,505,790
3,505,429
4,505,504
5,505,448
6,505,797
7,505,437
8,505,582
9,505,702
0,642,911
1,642,675
2,642,296
0,242,675
1,242,296
0,409,240
1,409,601
2,409,197
3,409,783
4,409,161
5,409,550
6,409,391
7,409,856
8,409,215
0,449,389
1,449,680
2,449,448
3,449,582
4,449,82
0,819,647
1,819,611
2,819,922
3,819,747
4,819,308
5,819,389
6,819,448
7,819,797
8,819,437
9,819,582
0,540,389
1,540,680
2,540,448
3,540,82
4,540,267
0,627,647
1,627,922
2,627,634
3,627,389
4,627,680
5,627,448
6,627,582
7,627,702
0,963,359
1,963,556
2,963,144
3,963,866
4,963,600
5,963,795
6,963,276
0,840,833
0,170,240
1,170,601
2,170,197
3,170,783
4,170,161
5,170,550
6,170,391
7,170,856
8,170,215
0,472,640
1,472,610
2,472,515
3,472,837
4,472,147
5,472,732
6,472,976
0,559,727
1,559,602
2,559,124
3,559,331
4,559,614
5,559,410
6,559,954
7,559,139
8,559,96
9,559,577
0,9,705
0,334,658
0,307,640
1,307,885
2,307,610
3,307,783
4,307,515
5,307,723
6,307,837
7,307,147
8,307,732
0,188,640
1,188,885
2,188,610
3,188,515
4,188,723
5,188,837
6,188,147
7,188,732
0,578,593
1,578,974
2,578,468
3,578,263
4,578,418
5,578,576
0,878,647
1,878,922
2,878,634
3,878,389
4,878,680
5,878,448
6,878,582
7,878,702
0,788,44
0,979,414
1,979,647
2,979,790
3,979,429
4,979,504
5,979,797
6,979,437
7,979,259
8,979,582
9,979,702
0,528,359
1,528,556
2,528,144
3,528,251
4,528,866
5,528,898
6,528,600
0,184,240
1,184,885
2,184,601
3,184,197
4,184,783
5,184,723
6,184,550
7,184,391
8,184,856
9,184,215
0,588,790
1,588,429
2,588,504
3,588,831
4,588,611
5,588,797
6,588,437
7,588,259
8,588,350
9,588,708
0,143,359
1,143,866
2,143,396
3,143,276
4,143,746
5,143,69
0,949,667
1,949,480
2,949,537
3,949,630
4,949,341
0,558,667
1,558,523
2,558,480
3,558,537
4,558,630
0,594,647
1,594,611
2,594,922
3,594,747
4,594,308
5,594,389
6,594,448
7,594,797
8,594,437
9,594,582
0,813,500
1,813,707
2,813,462
3,813,369
4,813,539
5,813,576
0,731,124
1,731,331
2,731,172
3,731,842
4,731,410
5,731,954
6,731,139
7,731,96
8,731,577
0,597,317
1,597,658
0,580,166
1,580,197
2,580,161
3,580,550
4,580,391
5,580,259
6,580,215
0,754,389
1,754,680
2,754,82
3,754,267
4,754,934
0,4,141
0,653,70
0,720,647
1,720,831
2,720,611
3,720,922
4,720,747
5,720,389
6,720,448
7,720,797
8,720,437
9,720,582
0,827,802
1,827,658
0,598,593
1,598,607
2,598,974
3,598,468
4,598,263
5,598,418
6,598,455
0,535,359
1,535,556
2,535,144
3,535,251
4,535,866
5,535,600
6,535,795
0,759,640
1,759,885
2,759,610
3,759,515
4,759,723
5,759,837
6,759,147
7,759,732
0,454,306
1,454,141
0,542,59
1,542,292
0,495,707
1,495,462
2,495,369
3,495,539
4,495,576
5,495,767
0,621,680
1,621,448
2,621,82
3,621,267
4,621,987
0,194,500
1,194,707
2,194,462
3,194,369
4,194,539
5,194,576
0,543,707
1,543,974
2,543,468
3,543,263
4,543,418
5,543,576
0,182,680
1,182,83
2,182,995
3,182,82
4,182,267
0,648,240
1,648,601
2,648,197
3,648,783
4,648,161
5,648,550
6,648,391
7,648,856
8,648,215
0,674,607
1,674,733
2,674,455
3,674,396
4,674,896
5,674,746
0,273,500
1,273,707
2,273,64
3,273,462
4,273,369
5,273,539
0,174,603
1,174,523
2,174,612
3,174,777
0,853,647
1,853,922
2,853,634
3,853,389
4,853,680
5,853,448
6,853,582
7,853,702
0,54,834
1,54,252
2,54,556
3,54,144
4,54,251
5,54,898
6,54,66
7,54,600
0,884,826
0,935,727
1,935,602
2,935,124
3,935,331
4,935,614
5,935,410
6,935,954
7,935,801
8,935,139
9,935,96
0,946,603
1,946,189
2,946,612
0,13,790
1,13,429
2,13,504
3,13,831
4,13,611
5,13,797
6,13,437
7,13,259
8,13,350
9,13,708
0,861,172
1,861,252
2,861,556
3,861,144
4,861,251
5,861,898
6,861,66
7,861,385
0,56,292
0,289,240
1,289,601
2,289,166
3,289,197
4,289,161
5,289,550
6,289,391
7,289,215
8,289,664
0,766,475
1,766,500
2,766,521
3,766,909
4,766,64
5,766,462
6,766,369
7,766,539
0,412,359
1,412,556
2,412,144
3,412,251
4,412,866
5,412,898
6,412,66
0,624,724
1,624,607
2,624,733
3,624,455
4,624,396
5,624,896
6,624,746
0,656,240
1,656,885
2,656,601
3,656,197
4,656,783
5,656,723
6,656,550
7,656,391
8,656,856
9,656,215
0,313,640
1,313,885
2,313,610
3,313,515
4,313,723
5,313,837
6,313,147
7,313,732
0,230,802
1,230,658
0,62,727
1,62,602
2,62,124
3,62,331
4,62,172
5,62,410
6,62,954
7,62,139
8,62,96
9,62,577
0,948,389
1,948,680
2,948,448
3,948,82
4,948,267
0,89,790
1,89,429
2,89,504
3,89,831
4,89,166
5,89,161
6,89,550
7,89,391
8,89,259
9,89,664
0,137,640
1,137,885
2,137,610
3,137,783
4,137,723
5,137,856
6,137,147
7,137,732
8,137,873
0,849,640
1,849,885
2,849,610
3,849,783
4,849,515
5,849,723
6,849,837
7,849,147
8,849,732
0,822,593
1,822,607
2,822,974
3,822,468
4,822,263
5,822,418
6,822,733
0,757,414
1,757,647
2,757,790
3,757,429
4,757,504
5,757,797
6,757,437
7,757,259
8,757,582
9,757,702
0,652,359
1,652,556
2,652,144
3,652,251
4,652,866
5,652,898
6,652,600
0,191,826
1,191,779
2,191,211
3,191,258
4,191,312
5,191,347
0,237,593
1,237,607
2,237,974
3,237,468
4,237,263
5,237,418
6,237,455
0,899,802
1,899,658
0,780,306
1,780,760
0,368,603
1,368,523
2,368,480
3,368,612
4,368,777
5,368,967
0,701,59
1,701,292
0,74,124
1,74,331
2,74,172
3,74,842
4,74,410
5,74,954
6,74,139
7,74,96
8,74,577
0,510,640
1,510,885
2,510,610
3,510,783
4,510,723
5,510,147
6,510,732
7,510,873
8,510,976
0,349,790
1,349,429
2,349,504
3,349,831
4,349,611
5,349,161
6,349,797
7,349,259
8,349,664
9,349,350
0,914,475
1,914,500
2,914,521
3,914,189
4,914,909
5,914,64
6,914,539
0,918,359
1,918,556
2,918,144
3,918,251
4,918,866
5,918,600
6,918,795
0,622,826
1,622,779
2,622,211
3,622,258
0,925,640
1,925,885
2,925,610
3,925,515
4,925,723
5,925,837
